id,z_id,lat,lng,description,created_at,direction,price,space_number,b_id,num_space,meter_type,g_pm_zone,g_subzone,g_zone,street
2353,455,42.349555,-71.072348,,2019-05-14 15:34:17.372445+00,North,0.25,"",3007,1,SINGLE-SPACE,"",0DA,DA,Stuart St.
2354,1001,42.349756,-71.078365,,2019-05-14 15:34:17.372445+00,South,0.25,"",3016,1,SINGLE-SPACE,"",0DA,DA,Boylston St.
2355,459,42.355259,-71.072482,,2019-05-14 15:34:17.372445+00,West,0.25,"",3018,1,SINGLE-SPACE,"",0DC,DC,Arlington St.
2356,461,42.354581,-71.072113,,2019-05-14 15:34:17.372445+00,West,0.25,"",3027,1,SINGLE-SPACE,"",0DC,DC,Arlington St.
2357,462,42.353868,-71.071782,,2019-05-14 15:34:17.372445+00,North,0.25,"",3032,1,SINGLE-SPACE,"",0DC,DC,Commonwealth Av.
2358,463,42.353322,-71.07399,,2019-05-14 15:34:17.372445+00,East,0.25,"",3054,1,SINGLE-SPACE,"",0DC,DC,Berkeley St.
2359,466,42.353585,-71.07412,,2019-05-14 15:34:17.372445+00,East,0.25,"",3058,1,SINGLE-SPACE,"",0DC,DC,Berkeley St.
2360,467,42.354028,-71.074198,,2019-05-14 15:34:17.372445+00,South,0.25,"",3064,1,SINGLE-SPACE,"",0DC,DC,Marlborough St.
2361,468,42.354113,-71.074372,,2019-05-14 15:34:17.372445+00,East,0.25,"",3072,1,SINGLE-SPACE,"",0DC,DC,Berkeley St.
2362,470,42.354058,-71.074509,,2019-05-14 15:34:17.372445+00,West,0.25,"",3092,1,SINGLE-SPACE,465,0DC,DC,Berkeley St.
2363,471,42.354785,-71.074673,,2019-05-14 15:34:17.372445+00,South,0.25,"",3102,1,SINGLE-SPACE,"",0DC,DC,Beacon St.
2364,476,42.353945,-71.074547,,2019-05-14 15:34:17.372445+00,South,0.25,"",3168,1,SINGLE-SPACE,"",0DC,DC,Marlborough St.
2365,477,42.359626,-71.070855,,2019-05-14 15:34:17.372445+00,West,0.25,"",3183,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2366,478,42.352936,-71.067732,,2019-05-14 15:34:17.372445+00,West,0.25,"",3184,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2367,480,42.355642,-71.071905,,2019-05-14 15:34:17.372445+00,West,0.25,"",3265,1,SINGLE-SPACE,"",0DD,DD,Beacon St.
2368,481,42.355862,-71.07096,,2019-05-14 15:34:17.372445+00,West,0.25,"",3270,1,SINGLE-SPACE,"",0DD,DD,Beacon St.
2369,482,42.356164,-71.069789,,2019-05-14 15:34:17.372445+00,West,0.25,"",3285,1,SINGLE-SPACE,"",0DD,DD,Beacon St.
2370,483,42.356275,-71.069542,,2019-05-14 15:34:17.372445+00,West,0.25,"",3288,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2371,484,42.35708,-71.069995,,2019-05-14 15:34:17.372445+00,West,0.25,"",3301,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2372,486,42.358867,-71.070806,,2019-05-14 15:34:17.372445+00,West,0.25,"",3327,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2373,487,42.359687,-71.070866,,2019-05-14 15:34:17.372445+00,West,0.25,"",3337,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2374,488,42.360664,-71.070764,,2019-05-14 15:34:17.372445+00,East,0.25,"",3351,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2375,489,42.36023,-71.070726,,2019-05-14 15:34:17.372445+00,East,0.26,"",3355,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2376,490,42.359275,-71.07068,,2019-05-14 15:34:17.372445+00,East,0.25,"",3366,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2377,493,42.358695,-71.070646,,2019-05-14 15:34:17.372445+00,South,0.25,"",3373,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2378,494,42.358365,-71.070535,,2019-05-14 15:34:17.372445+00,East,0.25,"",3378,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2379,496,42.357985,-71.07033,,2019-05-14 15:34:17.372445+00,East,0.25,"",3385,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2380,497,42.357736,-71.070207,,2019-05-14 15:34:17.372445+00,East,0.25,"",3388,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2381,498,42.35681,-71.069712,,2019-05-14 15:34:17.372445+00,East,0.25,"",3399,1,SINGLE-SPACE,"",0DD,DD,Charles St.
2382,499,42.356302,-71.069433,,2019-05-14 15:34:17.372445+00,East,0.25,"",3407,1,SINGLE-SPACE,"",0DD,DD,Charles St.
